zip_code,week_of_vaccination,partially_vaccinated,fully_vaccinated,boosted,annotation,etl_timestamp,objectid
19109,6/27/2021 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,197
19125,5/2/2021 12:00:00 AM,73,1224,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,198
19132,6/12/2022 12:00:00 AM,21,27,44,,2023/11/16 13:10:00+00,199
19149,4/18/2021 12:00:00 AM,212,1150,12,,2023/11/16 13:10:00+00,200
19151,12/20/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,201
19153,11/21/2021 12:00:00 AM,29,33,137,,2023/11/16 13:10:00+00,202
19123,1/24/2021 12:00:00 AM,10,107,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,203
19107,6/19/2022 12:00:00 AM,10,12,19,,2023/11/16 13:10:00+00,204
19140,5/15/2022 12:00:00 AM,33,45,69,,2023/11/16 13:10:00+00,205
19124,6/6/2021 12:00:00 AM,78,1319,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,206
19135,2/7/2021 12:00:00 AM,19,151,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,207
19127,12/13/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,208
19104,8/1/2021 12:00:00 AM,38,135,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,209
19119,11/7/2021 12:00:00 AM,126,111,757,,2023/11/16 13:10:00+00,210
19136,9/26/2021 12:00:00 AM,32,209,190,,2023/11/16 13:10:00+00,211
19135,2/6/2022 12:00:00 AM,65,232,131,,2023/11/16 13:10:00+00,212
19133,2/14/2021 12:00:00 AM,9,43,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,213
19152,3/27/2022 12:00:00 AM,28,38,53,,2023/11/16 13:10:00+00,214
19119,12/6/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,215
19126,6/5/2022 12:00:00 AM,,15,16,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,216
19141,7/18/2021 12:00:00 AM,26,146,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,217
19126,6/26/2022 12:00:00 AM,,6,20,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,218
19145,7/31/2022 12:00:00 AM,33,36,51,,2023/11/16 13:10:00+00,219
19133,4/10/2022 12:00:00 AM,27,28,50,,2023/11/16 13:10:00+00,220
19138,11/29/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,221
19119,5/30/2021 12:00:00 AM,14,455,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,222
19115,6/26/2022 12:00:00 AM,12,18,34,,2023/11/16 13:10:00+00,223
19141,5/9/2021 12:00:00 AM,48,602,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,224
19146,6/20/2021 12:00:00 AM,21,174,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,225
19122,7/17/2022 12:00:00 AM,17,28,23,,2023/11/16 13:10:00+00,226
19153,4/11/2021 12:00:00 AM,50,329,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,227
19131,1/31/2021 12:00:00 AM,22,476,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,228
19106,5/1/2022 12:00:00 AM,11,20,18,,2023/11/16 13:10:00+00,229
19153,4/3/2022 12:00:00 AM,7,17,20,,2023/11/16 13:10:00+00,230
19115,5/2/2021 12:00:00 AM,43,1207,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,231
19139,6/27/2021 12:00:00 AM,29,269,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,232
19142,1/3/2021 12:00:00 AM,7,14,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,233
19102,6/12/2022 12:00:00 AM,,6,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,234
19139,4/10/2022 12:00:00 AM,37,44,73,,2023/11/16 13:10:00+00,235
19115,2/20/2022 12:00:00 AM,12,70,93,,2023/11/16 13:10:00+00,236
19126,5/8/2022 12:00:00 AM,8,10,23,,2023/11/16 13:10:00+00,237
19131,12/26/2021 12:00:00 AM,105,133,425,,2023/11/16 13:10:00+00,238
19120,5/30/2021 12:00:00 AM,67,974,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,239
19140,1/2/2022 12:00:00 AM,211,387,592,,2023/11/16 13:10:00+00,240
19146,7/10/2022 12:00:00 AM,84,46,50,,2023/11/16 13:10:00+00,241
19125,5/30/2021 12:00:00 AM,21,221,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,242
19153,1/10/2021 12:00:00 AM,,12,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,243
19123,5/8/2022 12:00:00 AM,12,9,25,,2023/11/16 13:10:00+00,244
19145,1/2/2022 12:00:00 AM,195,218,809,,2023/11/16 13:10:00+00,245
19134,12/26/2021 12:00:00 AM,173,200,550,,2023/11/16 13:10:00+00,246
19143,7/10/2022 12:00:00 AM,82,62,99,,2023/11/16 13:10:00+00,247
19129,6/26/2022 12:00:00 AM,10,8,6,,2023/11/16 13:10:00+00,248
19102,2/13/2022 12:00:00 AM,9,7,12,,2023/11/16 13:10:00+00,249
19114,3/7/2021 12:00:00 AM,61,613,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,250
19123,11/14/2021 12:00:00 AM,105,62,381,,2023/11/16 13:10:00+00,251
19154,2/27/2022 12:00:00 AM,22,59,59,,2023/11/16 13:10:00+00,252
19120,10/17/2021 12:00:00 AM,98,410,291,,2023/11/16 13:10:00+00,253
19114,4/4/2021 12:00:00 AM,79,1664,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,254
19146,3/13/2022 12:00:00 AM,28,40,73,,2023/11/16 13:10:00+00,255
19139,9/19/2021 12:00:00 AM,45,266,32,,2023/11/16 13:10:00+00,256
19128,2/13/2022 12:00:00 AM,28,66,86,,2023/11/16 13:10:00+00,257
19144,1/30/2022 12:00:00 AM,103,264,254,,2023/11/16 13:10:00+00,258
19131,9/12/2021 12:00:00 AM,40,283,26,,2023/11/16 13:10:00+00,259
19104,1/23/2022 12:00:00 AM,200,208,337,,2023/11/16 13:10:00+00,260
19152,8/7/2022 12:00:00 AM,,8,8,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,261
19144,10/10/2021 12:00:00 AM,61,230,231,,2023/11/16 13:10:00+00,262
19148,5/9/2021 12:00:00 AM,154,1952,9,,2023/11/16 13:10:00+00,263
19125,2/20/2022 12:00:00 AM,31,27,60,,2023/11/16 13:10:00+00,264
19116,5/8/2022 12:00:00 AM,13,27,39,,2023/11/16 13:10:00+00,265
19153,5/2/2021 12:00:00 AM,11,323,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,266
19115,4/3/2022 12:00:00 AM,23,61,67,,2023/11/16 13:10:00+00,267
19140,5/1/2022 12:00:00 AM,34,39,78,,2023/11/16 13:10:00+00,268
19118,6/13/2021 12:00:00 AM,,80,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,269
19125,11/21/2021 12:00:00 AM,150,76,509,,2023/11/16 13:10:00+00,270
19127,10/24/2021 12:00:00 AM,14,8,89,,2023/11/16 13:10:00+00,271
19104,1/3/2021 12:00:00 AM,13,165,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,272
19121,3/20/2022 12:00:00 AM,39,39,58,,2023/11/16 13:10:00+00,273
19115,4/11/2021 12:00:00 AM,84,1181,6,,2023/11/16 13:10:00+00,274
19144,6/12/2022 12:00:00 AM,16,27,64,,2023/11/16 13:10:00+00,275
19109,1/9/2022 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,276
19119,12/19/2021 12:00:00 AM,127,113,657,,2023/11/16 13:10:00+00,277
19138,7/11/2021 12:00:00 AM,19,195,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,278
19127,12/20/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,279
